njamu	d a m u
nyanya	m ã j a
ota	o t a
riu	r i u
thoko	s o k o
thungura	s ũ ɡ u r a
thí	s i
tondu	t o d u
ucio	u t i o
university	u n i f e r s i k
warì	w a r i
íni	ĩ n i
aingì	a ĩ ɡ i
angi	ã ɡ i
barabaraini	b a r a b a r a i n i
bengi	b ẽ ɡ i
harìa	h a r i a
igúkorwo	i ɡ u k o r w o
jumaa	d u m a
kamwe	k ã w e
kanua	k a n u a
kilometer	k i l o m e t e r
kindiki	k ĩ d i k i
kinene	k i n e n e
kuga	k u ɡ a
kwí	k i
kúhúra	k u h u r a
marí	m a r i
mayo	m a j o
mweru	m w e r u
mìena	m i e n a
naikuru	n a i k u r u
nairofi	n a i r o f i
ngurani	ɡ u r a n i
nîguo	n i ɡ u o
nîyo	n i j o
orange	o r ã ɡ e
rírí	r i r i
taoni	t a o n i
tarìki	t a r i k i
wagi	w a ɡ i
wendia	w ẽ d j a
wiyathi	w i j a s i
yayo	j a j o
ìngì	ĩ ɡ i
ìria	i r i a
ìtandatū	i t ã d a t u
ùmotho	u m o s o
ùmuthi	u m u s i
ũmwe	o m w e
and	ã d
bere	b e r e
brazil	b r a s i l
celcius	t e l t i u s
corner	t o r n e r
eliud	e l j u d
family	f a m i l
gatagatí	ɡ a t a ɡ a t i
gicunji	ɡ i t ũ d i
grey	ɡ r e j
gìcunjì	ɡ i t ũ d i
gùkù	ɡ u k u
handu	h ã d u
igirí	i ɡ i r i
ithathatū	i s a s a t u
kang	k ã ɡ
kimani	k i m a n i
kíríma	k i r i m a
kùuma	k u m a
maaí	m a i
makìria	m a k i r i a
mana	m a n a
mbarathi	b a r a s i
mbìa	m b i a
mugwanja	m u ɡ w ẽ d a
mwírí	m w i r i
múgwanja	m u ɡ w ẽ d a
mĩaka	m e a k a
mũgwanja	m o ɡ w ẽ d a
ngi	m i
njiira	d i r a
njíra	d i r a
njûûi	d u i
nyimbo	m ĩ b o
river	r i f e r
rìu	r i u
rîmwe	r ĩ w e
rúciiní	r u t i n i
rûhuho	r u h u h o
rĩrĩ	r e r e
rūhuho	r u h u h o
straight	s t r a i t
thi	s i
thîiniî	s i ĩ i
undu	ũ d u
ìtano	i t a n o
íkoragwo	i k o r a ɡ w o
úthie	u s i e
ûyû	u j u
ĩyo	e j o
ūingìre	u ĩ ɡ i r e
ūmotho	u m o s o
ūrìo	u r i o
biú	b i u
faith	f a i s
gakiuga	ɡ a k i u ɡ a
gatatū	ɡ a t a t u
gìthaka	ɡ i s a k a
gìthomo	ɡ i s o m o
gîkî	ɡ i k i
gūkorwo	ɡ u k o r w o
igúka	i ɡ u k a
john	d o ɔ̃
kìhooto	k i h o t o
kûîna	k u ĩ n a
kĩrĩa	k e r e a
maikaraga	m a i k a r a ɡ a
manini	m a n ĩ n i
maría	m a r i a
mathina	m a s i n a
mothe	m o s e
múbira	m u b i r a
múgwaja	m u ɡ w a d a
múirú	m u i r u
múnini	m u n ĩ n i
mútongoria	m u t õ ɡ o r i a
mûnene	m u n e n e
mûrûthi	m u r u s i
nao	n a o
ng'ondu	ɡ õ d u
noguo	n o ɡ u o
purple	p u r p l e
rectangle	r e t ɔ̃ ɡ l e
rūūì	r u i
tarîki	t a r i k i
thibindi	s i b ĩ d i
urugari	u r u ɡ a r i
woothe	w o s e
îyo	i j o
úndu	ũ d u
ûmwe	ũ w e
ĩtatũ	i t a t o
ūthiì	u s i
akiuga	a k i u ɡ a
arap	a r a p
black	b l a t k
easter	e a s t e r
gatambi	ɡ a t ã b i
gukorwo	ɡ u k o r w o
guoya	ɡ w o j a
gwetha	ɡ w e s a
gîthiûrûrî	ɡ i t i u r u r i
gúthií	ɡ u s i
gĩkĩro	ɡ e k e r o
gūthiì	ɡ u s i
hakuhi	h a k u h i
hindi	h ĩ d i
honge	h o ɡ e
ihooto	i h o t o
jumatatu	d u m a t a t u
kahūa	k a h u a
kimwe	k ĩ w e
kîrîma	k i r i m a
kùùma	k u m a
mahiga	m a h i ɡ a
mangi	m ã ɡ i
maúndú	m a ũ d u
meru	m e r u
merî	m e r i
muingi	m w ĩ ɡ i
muruthi	m u r u s i
mwakaini	m w a k a ĩ n i
mwerũ	m w e r o
mìtì	m i t i
múcií	m u t i
múthige	m u s i ɡ e
mûirû	m u i r u
mũrũthi	m o r o s i
ndaraca	d a r a t a
ningî	n ĩ ɡ i
nyeri	m e r i
nyingí	m ĩ ɡ i
nìkìo	n i k i o
